file,tau,RMST_diff,RMST_diff_lower_CI,RMST_diff_upper_CI,p_value
miR-10.csv,14,2.268148148,1.616876522,2.919419775,8.74003780151213e-12
miR-1007.csv,7,0.039212008,-0.271003608,0.349427624,0.804332324
miR-1014.csv,7,0.370551975,0.121373167,0.619730784,0.003560899
miR-11.csv,7,-0.40947351,-0.649559368,-0.169387653,0.000829447
miR-124.csv,7,-0.118250781,-0.439256171,0.202754609,0.470291835
miR-133.csv,8,-0.779069767,-1.089940847,-0.468198688,9.02261354017164e-07
miR-137.csv,8,-3.636538462,-3.981579077,-3.291497846,8.45500838917378e-95
miR-219.csv,8,-0.580246914,-0.864294806,-0.296199021,6.23403999974671e-05
miR-263b.csv,8,-0.243522267,-0.552966108,0.065921574,0.1229696
miR-274.csv,8,-1.550865801,-1.907507278,-1.194224324,1.55526242392187e-17
miR-276b.csv,8,1.026760563,0.568428972,1.485092155,1.1296682860758e-05
miR-278.csv,11,0.663991081,0.109513637,1.218468526,0.018921587
miR-282.csv,8,-0.39695122,-0.76515294,-0.028749499,0.034600801
miR-283.csv,8,0.672156013,0.317165927,1.027146099,0.000206365
miR-285.csv,9,-1.247828523,-1.665735059,-0.829921988,4.84928933062328e-09
miR-2b-1.csv,7,-0.571153846,-0.887921005,-0.254386688,0.00040939
miR-304.csv,14,2.842105263,2.359026075,3.325184452,9.1984300995352e-31
miR-31a.csv,8,-0.339265673,-0.745262978,0.066731632,0.10146028
miR-31b.csv,14,5.271929825,4.723789432,5.820070217,2.90355221075625e-79
miR-375.csv,7,-0.676996945,-1.007042018,-0.346951871,5.81170339793709e-05
miR-87.csv,8,-0.709243697,-1.113126115,-0.30536128,0.000577807
miR-92a.csv,8,0.214715719,-0.1017715,0.531202938,0.18361503
miR-932.csv,8,-0.085177921,-0.483340833,0.312984991,0.675004332
miR-957.csv,7,-1.399812383,-1.668947987,-1.130676779,2.10794876088442e-24
miR-958.csv,7,0.112576313,-0.244131967,0.469284592,0.536206177
miR-965.csv,8,-2.455840456,-2.776899573,-2.134781338,8.26637990562447e-51
miR-966.csv,8,-0.147800504,-0.578301304,0.282700296,0.50101139
miR-967.csv,7,-2.98467433,-3.230885122,-2.738463537,8.75672505017976e-125
miR-971.csv,9,-0.074949147,-0.452359328,0.302461033,0.697109414
miR-986.csv,9,-1.50113443,-1.899407235,-1.102861624,1.49815599768123e-13
miR-988.csv,8,0.356623932,-0.060188046,0.77343591,0.093553566
miR-989.csv,9,-0.371481028,-0.862814575,0.119852519,0.138376518
miR-990.csv,9,-3.091202017,-3.447929799,-2.734474235,1.07979838240569e-64
miR-999.csv,9,-0.351611352,-0.774594449,0.071371746,0.103259919
miR-9c.csv,9,0.304865009,-0.097749898,0.707479916,0.137779985
